Name,Population,initial_density (per km2),normalized_density
Arbutus-Ridge,16121,43.57027027,3
Downtown,65380,176.7027027,12
Dunbar-Southlands,22582,26.38084112,2
Fairview,35435,108.3639144,7
Grandview-Woodland,30750,69.1011236,5
Hastings-Sunrise,36442,45.95460277,3
Kensington-Cedar Cottage,51989,71.80801105,5
Kerrisdale,14730,23.34389857,2
Killarney,30909,46.5496988,3
Kitsilano,45369,83.09340659,6
Marpole,25781,46.11985689,3
Mount Pleasant,34735,94.90437158,6
Oakridge,13734,34.24937656,2
Renfrew-Collingwood,54313,67.46956522,5
Riley Park,23773,48.41751527,3
Shaughnessy,8885,19.92152466,1
South Cambie,8400,38.70967742,3
Strathcona,13265,34.18814433,2
Sunset,38471,61.45527157,4
Victoria-Fraserview,32743,61.66290019,4
West End,49749,251.2575758,17
West Point Grey,13771,30.94606742,2